TransactionID,AccountID,TransactionAmount,TransactionDate,TransactionType,Location,DeviceID,IP Address,MerchantID,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,PreviousTransactionDate,TransactionID_bin,AccountID_bin,TransactionID_bin_enc,AccountID_bin_enc,Target
0.0,125.99999999999999,0.007207441957422414,680.0,1.0,36.0,365.0,186.0,14.000000000000002,0.0,0.8387096774193548,0.0,0.24482758620689654,0.0,0.33683185966818,105.0,0,1,0,1,0
1.0,450.0,0.1959402767282487,1178.0,1.0,15.0,50.00000000000001,82.0,51.0,0.0,0.8064516129032258,0.0,0.45172413793103444,0.0,0.9180546275595326,192.0,0,3,0,3,2
2.0,18.0,0.0656799645621075,1262.0,1.0,22.999999999999996,229.00000000000003,342.0,8.0,2.0,0.016129032258064557,3.0,0.1586206896551724,0.0,0.06863734931174438,41.0,0,0,0,0,0
3.0,68.0,0.0960158428225239,818.0,1.0,33.0,182.0,300.0,1.0,2.0,0.12903225806451613,3.0,0.05172413793103449,0.0,0.569197956003802,163.0,0,0,0,0,0
4.0,406.0,0.006873908851655939,1939.0,0.0,1.0,298.0,500.00000000000006,90.0,2.0,0.435483870967742,3.0,0.6482758620689656,0.0,0.4925911187531677,16.0,0,3,0,3,2
5.0,388.0,0.04788805795137713,635.0,1.0,28.000000000000004,562.0,60.0,53.0,0.0,0.0,3.0,0.5586206896551724,0.0,0.045737843102722775,13.0,0,3,0,3,2
6.0,197.0,0.0035542121583239956,306.0,0.0,39.0,235.0,112.0,18.0,0.0,0.30645161290322587,0.0,0.44482758620689655,0.0,0.8883303734554748,226.0,0,1,0,1,0
7.0,67.0,0.08919925997342157,837.0000000000001,0.0,16.0,483.0,570.0,19.0,1.0,0.7903225806451613,2.0,0.9689655172413792,0.0,0.18115460779713835,271.0,0,0,0,0,0
8.0,133.0,0.05522578627823957,557.0,0.0,11.0,670.0,369.0,34.0,1.0,0.532258064516129,1.0,0.26206896551724135,0.0,0.6045605421617909,290.0,0,1,0,1,0
9.0,380.0,0.4250983662089272,610.0,1.0,26.0,194.0,392.00000000000006,6.0,0.0,0.5967741935483871,0.0,0.3793103448275862,0.0,0.06188385358620237,9.0,0,3,0,3,2
10.0,148.0,0.009130468770357246,516.0,0.0,0.0,200.00000000000003,335.99999999999994,72.0,2.0,0.5483870967741935,1.0,0.16896551724137931,0.0,0.5040264197666963,22.0,0,1,0,1,0
11.0,454.0,0.09889256585975974,234.0,1.0,22.0,572.0,56.0,28.999999999999996,2.0,0.04838709677419356,3.0,0.5620689655172414,0.0,0.09595919536134934,49.00000000000001,0,3,0,3,2
12.0,387.0,0.2575813638377153,1037.0,0.0,22.999999999999996,31.0,332.0,56.00000000000001,1.0,0.09677419354838712,3.0,0.3482758620689655,0.0,0.10209024288923516,135.0,0,3,0,3,2
13.0,260.0,0.40727519086953123,2173.0,1.0,22.0,53.0,277.0,24.0,0.0,0.12903225806451613,3.0,0.3896551724137931,0.0,0.005944850820811549,43.0,0,2,0,2,2
14.0,83.0,0.08689058550694426,283.0,1.0,21.0,299.0,251.0,16.0,2.0,0.0,3.0,0.4275862068965517,0.0,0.013355076448200345,226.0,0,0,0,0,0
15.0,266.0,0.2424316647992287,2354.0,1.0,10.0,451.0,360.0,24.0,0.0,0.29032258064516125,1.0,0.4103448275862069,0.0,0.22614430312017286,355.0,0,2,0,2,2
16.0,313.0,0.2895171587148552,2031.0,0.0,2.0,651.0,463.0,47.0,1.0,0.016129032258064557,3.0,0.5103448275862069,0.0,0.06923627084966197,72.0,0,2,0,2,2
17.0,354.0,0.2567527425280767,2367.0,1.0,8.0,417.0,49.00000000000001,57.99999999999999,2.0,0.33870967741935487,1.0,0.7724137931034483,0.0,0.3366812890458528,327.0,0,2,0,2,2
18.0,238.0,0.00959949970034135,353.00000000000006,0.0,0.0,513.0,578.0,53.0,1.0,0.6612903225806451,2.0,0.3310344827586207,0.0,0.5274757776233234,337.0,0,1,0,1,0
19.0,281.0,0.037115980926075515,1050.0,0.0,8.0,38.0,70.0,38.0,2.0,0.0,3.0,0.5482758620689655,0.0,0.4347283074114356,177.0,0,2,0,2,2
20.0,1.0,0.030778851916512494,413.0,1.0,20.0,150.0,59.00000000000001,39.0,1.0,0.8548387096774193,2.0,0.09655172413793102,0.0,0.3797633083592239,181.0,0,0,0,0,0
21.0,13.0,0.04456314980326758,1479.0,1.0,19.0,260.0,477.0,64.0,1.0,0.32258064516129037,0.0,0.2862068965517241,0.0,0.607992073532239,110.0,0,0,0,0,0
22.0,93.0,0.027068296114860464,1029.0,1.0,1.0,681.0,91.00000000000001,21.0,2.0,0.33870967741935487,1.0,0.3793103448275862,0.0,0.5964801428269905,38.0,0,0,0,0,0
24.0,237.0,0.07571201500898975,436.0,1.0,33.0,35.0,63.0,27.0,2.0,0.04838709677419356,3.0,0.296551724137931,0.0,0.12299132740103008,46.00000000000001,0,1,0,1,0
25.0,39.0,0.0037678818042056438,1979.0,0.0,15.0,651.0,542.0,42.0,2.0,0.7580645161290323,2.0,0.9172413793103449,0.0,0.23751305729615496,201.0,0,0,0,0,0
27.0,55.0,0.020877087839070278,601.0,1.0,25.000000000000004,300.0,327.0,7.000000000000001,1.0,0.30645161290322587,1.0,0.29310344827586204,0.0,0.1737793360642184,335.0,0,0,0,0,0
28.0,385.0,0.06628449331630924,160.00000000000003,1.0,19.0,226.0,151.0,91.0,2.0,0.4193548387096775,0.0,0.6448275862068966,0.0,0.11231022387969408,298.0,0,3,0,3,2
29.0,309.0,0.02913724366156813,1753.0,1.0,11.0,288.0,396.0,42.0,1.0,0.14516129032258068,3.0,0.9413793103448276,0.0,0.08405336115304833,127.0,0,2,0,2,2
30.0,362.0,0.014618130651171273,1296.0,0.0,24.0,570.0,403.0,90.0,2.0,0.6612903225806451,0.0,0.034482758620689655,0.0,0.5534290442664186,174.0,0,2,0,2,2
31.0,287.0,0.03067462282096047,223.99999999999997,1.0,3.0,274.0,248.0,52.0,0.0,0.1774193548387097,0.0,0.8517241379310345,0.0,0.6535296039320443,35.0,0,2,0,2,2
33.0,354.0,0.45733121400839033,505.0,1.0,20.0,109.0,93.0,93.0,2.0,0.06451612903225812,3.0,0.4827586206896552,0.0,0.020014465534787865,87.0,0,2,0,2,2
34.0,360.0,0.13289209682882977,2019.0,0.0,37.0,345.0,570.0,1.0,1.0,0.435483870967742,0.0,0.13793103448275862,0.0,0.9891024512090688,267.0,0,2,0,2,2
35.0,263.0,0.06488261198113453,1924.0000000000002,1.0,39.0,41.0,478.0,1.0,1.0,0.5,1.0,0.1206896551724138,0.0,0.3806929475140387,0.0,0,2,0,2,2
